Area Name,Industry Name,Area,Industry,Year,Jobs,CZ20,Jobs_county,Jobs_CZ,Total_Jobs_CZ,Employment_Share,Log_Total_Jobs_CZ,Log_Total_Jobs_CZ_Squared,Intercept_tj,Beta1_tj,Beta2_tj,Expected_Jobs,Jobs_Deviation,Intercept_sj,Beta1_sj,Beta2_sj,Expected_Share,Share_Deviation,RCA,Share_Deviation_Normalized
"Larimer County, CO",Timber Tract Operations,8069,113110,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-21.50614107698308,3.489341422331279,-0.12729364520019373,9.550214658317271,-9.550214658317271,-4.84945135235952,-0.6768484687168204,0.0199517195182028,3.665235534084763e-05,-3.665235534084763e-05,0.0,-1.0
"Larimer County, CO",Forest Nurseries and Gathering of Forest Products,8069,113210,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-12.974562836606394,1.8768775490180976,-0.05667686458345565,5.397484400065209,-5.397484400065209,-48.0478300296514,7.058494434097677,-0.326307953883906,1.771200155337312e-05,-1.771200155337312e-05,0.0,-1.0
"Larimer County, CO",Logging,8069,113310,2024,15.75,84.0,15.75,15.75,303165.6916240244,5.195178885720553e-05,12.6220347720736,159.31576178743506,-17.400034959958635,3.4468297209604146,-0.13336710424067594,128.8292419831916,-113.0792419831916,-15.623465435333838,2.0654172659078167,-0.11368056912210316,0.0004690489817269009,-0.0004170971928696954,0.11075983720492104,-1.2491111891680158
"Larimer County, CO",Finfish Fishing,8069,114111,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,4.861973606834782,-1.191308689861487,0.07490999900030249,5.809981898944247,-5.809981898944247,-12.89592257929457,1.3128306594981274,-0.09351318015857082,1.3357241584580988e-05,-1.3357241584580988e-05,0.0,-1.0
"Larimer County, CO",Shellfish Fishing,8069,114112,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-15.606090529715221,2.076479030934724,-0.0558016997001793,5.546736326203443,-5.546736326203443,-12.490539326697526,0.5550427164079066,-0.03426718231803784,1.7662388628322768e-05,-1.7662388628322768e-05,0.0,-1.0
"Larimer County, CO",Other Marine Fishing,8069,114119,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-88.59704311587274,12.42756332672616,-0.4257790280434279,1.5384618527180285,-1.5384618527180285,-6.775780337535879,-1.1892768022903777,0.05647470215364897,2.7897368255543426e-06,-2.7897368255543426e-06,0.0,-1.0
"Larimer County, CO",Hunting and Trapping,8069,114210,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-1.3561190632404112,-0.009269330490861871,0.019756987692582998,5.336033943714511,-5.336033943714511,-7.919081777174185,0.388746507139194,-0.05247176389633132,1.1514667689679863e-05,-1.1514667689679863e-05,0.0,-1.0
"Larimer County, CO",Cotton Ginning,8069,115111,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-11.445436033286814,2.2006277127843843,-0.0859625625809222,13.95408553227853,-13.95408553227853,-27.004802713232614,4.136878204548965,-0.22276448244996044,3.43511387562262e-05,-3.43511387562262e-05,0.0,-1.0
"Larimer County, CO","Crop Harvesting, Primarily by Machine",8069,115113,2024,2.43594007734,84.0,2.43594007734,39.606121943599994,303165.6916240244,0.00013064183394708836,12.6220347720736,159.31576178743506,-12.096594174799211,1.8042209849436355,-0.04535241227554418,31.531647470755754,8.07447447284424,-7.7521060524487755,0.1942571800684869,-0.025574337865882868,8.485384176170332e-05,4.578799218538504e-05,1.5396101253019556,4.706379673437072
"Larimer County, CO",Postharvest Crop Activities (except Cotton Ginning),8069,115114,2024,1.6033663138,84.0,1.6033663138,5.15915767123,303165.6916240244,1.7017617143922103e-05,12.6220347720736,159.31576178743506,-22.34182850859184,3.8214553140349126,-0.12698019202385885,287.9443755085,-282.78521783727,-21.90273687111628,2.7893940772872607,-0.12739852316360906,0.0009196654429867993,-0.0009026478258428772,0.018504138949327,-1.0377059948668936
"Larimer County, CO",Farm Labor Contractors and Crew Leaders,8069,115115,2024,1.22167735259,84.0,1.22167735259,82.85805608253,303165.6916240244,0.0002733094752201964,12.6220347720736,159.31576178743506,-61.91999378925641,9.66782806345566,-0.3364695580454088,666.9827875589925,-584.1247314764626,-11.932667743571958,0.5857247312527591,-0.012997861575960001,0.0013463015516940627,-0.0010729920764738663,0.20300762104618297,-1.509434284209
"Larimer County, CO",Farm Management Services,8069,115116,2024,16.4463408304,84.0,16.4463408304,20.25065436321,303165.6916240244,6.679731553636405e-05,12.6220347720736,159.31576178743506,-12.180470077804667,1.854484704678414,-0.0448137915964015,59.58220777039948,-39.331553407189475,-17.520035707908203,1.7818360462256857,-0.08456881355755638,0.00020290267453127307,-0.00013610535899490902,0.3292086498646359,-1.981553056097704
"Larimer County, CO",Support Activities for Forestry,8069,115310,2024,2.88041926704,84.0,2.88041926704,3.2182996653440004,303165.6916240244,1.0615646012264554e-05,12.6220347720736,159.31576178743506,-15.476143347111549,2.728467572024082,-0.09293903341743194,63.816789418806536,-60.59848975346254,-15.614645442669023,1.647631313323087,-0.08495716857702985,0.0002356408473181945,-0.00022502520130592994,0.045050109660868164,-1.0943507300574056
"Larimer County, CO",Iron Ore Mining,8069,212210,2024,0.0,84.0,0.0,0.0,303165.6916240244,0.0,12.6220347720736,159.31576178743506,-210.281059195924,36.26442410760286,-1.5382970148804433,10.748885754402737,-10.748885754402737,-173.72509744972334,28.87345048574711,-1.2596514437142172,4.698271589282898e-05,-4.698271589282898e-05,0.0,-1.0
"Larimer County, CO",Dimension Stone Mining and Quarrying,8069,212311,2024,90.0148613589,84.0,90.0148613589,90.0148613589,303165.6916240244,0.00029691638548115566,12.6220347720736,159.31576178743506,-15.907460148969275,2.578095519570607,-0.0846229898453432,23.37284907681947,66.64201228208054,-17.153601644434524,1.843436337853173,-0.09816142228983488,7.3051502038617e-05,0.00022386488344253868,4.064480225529075,1.652639225190205
